identifier,name,num_pts,record_id,status,latitude,longitude,max_wind,min_pressure,datetime
AL011851,UNNAMED,14,,HU,28.0,-94.8,80,-999,1851-06-25T00:00:00
AL011851,UNNAMED,14,,HU,28.0,-95.4,80,-999,1851-06-25T06:00:00
AL011851,UNNAMED,14,,HU,28.0,-96.0,80,-999,1851-06-25T12:00:00
AL011851,UNNAMED,14,,HU,28.1,-96.5,80,-999,1851-06-25T18:00:00
AL011851,UNNAMED,14,L,HU,28.2,-96.8,80,-999,1851-06-25T21:00:00
AL011851,UNNAMED,14,,HU,28.2,-97.0,70,-999,1851-06-26T00:00:00
AL011851,UNNAMED,14,,TS,28.3,-97.6,60,-999,1851-06-26T06:00:00
AL011851,UNNAMED,14,,TS,28.4,-98.3,60,-999,1851-06-26T12:00:00
AL011851,UNNAMED,14,,TS,28.6,-98.9,50,-999,1851-06-26T18:00:00
AL011851,UNNAMED,14,,TS,29.0,-99.4,50,-999,1851-06-27T00:00:00
AL011851,UNNAMED,14,,TS,29.5,-99.8,40,-999,1851-06-27T06:00:00
AL011851,UNNAMED,14,,TS,30.0,-100.0,40,-999,1851-06-27T12:00:00
AL011851,UNNAMED,14,,TS,30.5,-100.1,40,-999,1851-06-27T18:00:00
AL011851,UNNAMED,14,,TS,31.0,-100.2,40,-999,1851-06-28T00:00:00
AL021851,UNNAMED,1,,HU,22.2,-97.6,80,-999,1851-07-05T12:00:00
AL031851,UNNAMED,1,,TS,12.0,-60.0,50,-999,1851-07-10T12:00:00
AL041851,UNNAMED,49,,TS,13.4,-48.0,40,-999,1851-08-16T00:00:00
AL041851,UNNAMED,49,,TS,13.7,-49.5,40,-999,1851-08-16T06:00:00
AL041851,UNNAMED,49,,TS,14.0,-51.0,50,-999,1851-08-16T12:00:00
AL041851,UNNAMED,49,,TS,14.4,-52.8,50,-999,1851-08-16T18:00:00
AL041851,UNNAMED,49,,TS,14.9,-54.6,60,-999,1851-08-17T00:00:00
AL041851,UNNAMED,49,,TS,15.4,-56.5,60,-999,1851-08-17T06:00:00
AL041851,UNNAMED,49,,HU,15.9,-58.5,70,-999,1851-08-17T12:00:00
AL041851,UNNAMED,49,,HU,16.1,-60.4,70,-999,1851-08-17T18:00:00
AL041851,UNNAMED,49,,HU,16.6,-62.5,80,-999,1851-08-18T00:00:00
AL041851,UNNAMED,49,,HU,16.9,-64.1,80,-999,1851-08-18T06:00:00
AL041851,UNNAMED,49,,HU,17.2,-66.0,90,-999,1851-08-18T12:00:00
AL041851,UNNAMED,49,,HU,17.6,-67.6,90,-999,1851-08-18T18:00:00
AL041851,UNNAMED,49,,HU,18.0,-69.3,90,-999,1851-08-19T00:00:00
AL041851,UNNAMED,49,,HU,18.4,-71.1,70,-999,1851-08-19T06:00:00
AL041851,UNNAMED,49,,TS,18.9,-72.6,60,-999,1851-08-19T12:00:00
AL041851,UNNAMED,49,,TS,19.4,-74.3,60,-999,1851-08-19T18:00:00
AL041851,UNNAMED,49,,HU,19.9,-75.9,70,-999,1851-08-20T00:00:00
AL041851,UNNAMED,49,,HU,20.5,-77.6,70,-999,1851-08-20T06:00:00
AL041851,UNNAMED,49,,HU,21.2,-79.0,70,-999,1851-08-20T12:00:00
AL041851,UNNAMED,49,,HU,21.9,-80.4,70,-999,1851-08-20T18:00:00
AL041851,UNNAMED,49,,TS,22.6,-81.4,60,-999,1851-08-21T00:00:00
AL041851,UNNAMED,49,,TS,23.2,-82.5,60,-999,1851-08-21T06:00:00
AL041851,UNNAMED,49,,HU,23.9,-83.6,70,-999,1851-08-21T12:00:00
AL041851,UNNAMED,49,,HU,24.4,-84.3,70,-999,1851-08-21T18:00:00
AL041851,UNNAMED,49,,HU,25.0,-84.9,80,-999,1851-08-22T00:00:00
AL041851,UNNAMED,49,,HU,25.6,-85.5,80,-999,1851-08-22T06:00:00
AL041851,UNNAMED,49,,HU,26.2,-86.0,90,-999,1851-08-22T12:00:00
AL041851,UNNAMED,49,,HU,26.8,-86.3,90,-999,1851-08-22T18:00:00
